PUNCH,JK,IN
KLRAI,TN,IN
TIRAP,AR,IN
ZMANI,UP,IN
ZAIDR,UP,IN
ZHEAB,TG,IN
YEOLA,MH,IN
YELUR,KA,IN
YELDU,TG,IN
YAVTM,MH,IN
YAVAL,MH,IN
YANAM,PY,IN
YMUAR,HR,IN
YADGR,KA,IN
WOKHA,NL,IN
WEAYP,RJ,IN
WLGTN,TN,IN
WAIRN,UP,IN
WAHIM,MH,IN
WARUD,MP,IN
WRORA,MH,IN
WALGN,BR,IN
WRDHA,MH,IN
WAEOI,MP,IN
WARGL,TG,IN
WANRT,TG,IN
WAKER,GJ,IN
WNIYW,MH,IN
WALPE,TN,IN
WIXJP,MH,IN
WDIQA,KA,IN
VYARA,GJ,IN
KOTAL,AP,IN
VINDA,UP,IN
VRHLA,TN,IN
VIGAR,AP,IN
VIEWZ,MH,IN
VSNGR,GJ,IN
VIKHT,AP,IN
VISDR,GJ,IN
VIRDU,TN,IN
VIRNL,TN,IN
VIRAR,MH,IN
VINUD,AP,IN
VIPUA,TN,IN
VIABD,TG,IN
VIJYD,AP,IN
VIJPR,GJ,IN
VDSHA,MP,IN
VERAL,GJ,IN
VEPTA,AP,IN
VEKRI,AP,IN
VEMLA,AP,IN
PRATV,TN,IN
VELOR,TN,IN
VJLPR,GJ,IN
VENIY,TN,IN
VALKN,TN,IN
VASDU,TN,IN
VSIND,MH,IN
VACDG,GA,IN
VSAUW,GJ,IN
VRKLA,KL,IN
VARNI,UP,IN
VANIB,TN,IN
VNASI,TN,IN
VALSD,GJ,IN
VLPAR,TN,IN
VVIDA,GJ,IN
VAIPR,GJ,IN
VAJUR,MH,IN
VODRA,GJ,IN
VDNGR,GJ,IN
VADLP,AP,IN
VADIT,TN,IN
VDARI,TN,IN
VVALY,TN,IN
VADZJ,MH,IN
UTRME,TN,IN
UTRAH,UT,IN
UTRLA,UP,IN
USLMI,TN,IN
USEAT,UP,IN
URVAO,AP,IN
URNAQ,MH,IN
ULETA,GJ,IN
UKALN,AP,IN
UNNAO,UP,IN
UNJHA,GJ,IN
UNHEL,MP,IN
